  Title : TRcurve_10mm_SDS_750nm_30secInt_20mlIL_1
  Version : 2 972 M
  Revision : 12 bits ADC
  Date : 2019-03-31
  Time : 11:59:37
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1 Decay  ( Time[ns]  No_of_photons )
5.313624 61
5.319732 43
5.325839 33
5.331947 42
5.338055 38
5.344162 49
5.350270 46
5.356377 40
5.362485 46
5.368593 31
5.374700 28
5.380808 49
5.386916 32
5.393023 53
5.399131 54
5.405238 42
5.411346 44
5.417454 43
5.423561 54
5.429669 32
5.435776 41
5.441884 42
5.447992 38
5.454099 36
5.460207 40
5.466315 49
5.472422 36
5.478530 37
5.484637 42
5.490745 49
5.496853 34
5.502960 32
5.509068 53
5.515175 45
5.521283 44
5.527391 66
5.533498 37
5.539606 42
5.545713 46
5.551821 47
5.557929 49
5.564036 49
5.570144 43
5.576252 31
5.582359 46
5.588467 32
5.594574 40
5.600682 47
5.606790 38
5.612897 43
5.619005 41
5.625112 36
5.631220 38
5.637328 37
5.643435 37
5.649543 42
5.655651 37
5.661758 47
5.667866 36
5.673973 36
5.680081 38
5.686189 38
5.692296 38
5.698404 32
5.704511 45
5.710619 48
5.716727 37
5.722834 40
5.728942 42
5.735050 45
5.741157 43
5.747265 43
5.753372 47
5.759480 52
5.765588 36
5.771695 54
5.777803 46
5.783910 42
5.790018 46
5.796126 29
5.802233 42
5.808341 38
5.814449 38
5.820556 35
5.826664 46
5.832771 37
5.838879 39
5.844987 34
5.851094 41
5.857202 46
5.863309 36
5.869417 48
5.875525 48
5.881632 50
5.887740 38
5.893847 42
5.899955 33
5.906063 49
5.912170 49
5.918278 40
5.924386 43
5.930493 43
5.936601 45
5.942708 34
5.948816 51
5.954924 43
5.961031 48
5.967139 50
5.973246 41
5.979354 39
5.985462 42
5.991569 52
5.997677 40
6.003785 33
6.009892 53
6.016000 39
6.022107 44
6.028215 51
6.034323 52
6.040430 41
6.046538 37
6.052645 39
6.058753 32
6.064861 39
6.070968 56
6.077076 44
6.083184 40
6.089291 34
6.095399 43
6.101506 39
6.107614 41
6.113722 41
6.119829 41
6.125937 33
6.132044 42
6.138152 38
6.144260 46
6.150367 39
6.156475 34
6.162583 40
6.168690 33
6.174798 55
6.180905 43
6.187013 34
6.193121 57
6.199228 43
6.205336 39
6.211443 45
6.217551 39
6.223659 41
6.229766 36
6.235874 43
6.241981 35
6.248089 31
6.254197 44
6.260304 37
6.266412 59
6.272520 54
6.278627 44
6.284735 28
6.290842 48
6.296950 51
6.303058 39
6.309165 37
6.315273 45
6.321380 54
6.327488 40
6.333596 39
6.339703 42
6.345811 53
6.351919 43
6.358026 42
6.364134 37
6.370241 35
6.376349 43
6.382457 33
6.388564 39
6.394672 48
6.400779 42
6.406887 38
6.412995 46
6.419102 36
6.425210 43
6.431318 41
6.437425 48
6.443533 47
6.449640 37
6.455748 39
6.461856 41
6.467963 55
6.474071 32
6.480178 42
6.486286 45
6.492394 35
6.498501 41
6.504609 45
6.510717 63
6.516824 46
6.522932 54
6.529039 47
6.535147 46
6.541255 68
6.547362 36
6.553470 37
6.559577 36
6.565685 40
6.571793 43
6.577900 43
6.584008 46
6.590115 37
6.596223 28
6.602331 51
6.608438 41
6.614546 63
6.620654 42
6.626761 37
6.632869 47
6.638976 48
6.645084 49
6.651192 47
6.657299 40
6.663407 45
6.669514 46
6.675622 39
6.681730 45
6.687837 38
6.693945 34
6.700053 32
6.706160 43
6.712268 46
6.718375 40
6.724483 38
6.730591 39
6.736698 41
6.742806 36
6.748913 38
6.755021 54
6.761129 45
6.767236 49
6.773344 44
6.779452 47
6.785559 31
6.791667 42
6.797774 45
6.803882 48
6.809990 53
6.816097 39
6.822205 41
6.828312 45
6.834420 45
6.840528 40
