  Title : TRcurve_10mm_SDS_750nm_10secInt_1
  Version : 2 972 M
  Revision : 12 bits ADC
  Date : 2019-10-11
  Time : 09:24:17
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1 Decay  ( Time[ns]  No_of_photons )
6.009892 7
6.016000 12
6.022107 8
6.028215 7
6.034323 14
6.040430 7
6.046538 8
6.052645 6
6.058753 18
6.064861 10
6.070968 11
6.077076 15
6.083184 11
6.089291 10
6.095399 8
6.101506 14
6.107614 16
6.113722 13
6.119829 14
6.125937 23
6.132044 14
6.138152 13
6.144260 16
6.150367 21
6.156475 19
6.162583 18
6.168690 15
6.174798 15
6.180905 22
6.187013 13
6.193121 31
6.199228 21
6.205336 20
6.211443 20
6.217551 16
6.223659 22
6.229766 15
6.235874 23
6.241981 19
6.248089 18
6.254197 17
6.260304 24
6.266412 22
6.272520 25
6.278627 17
6.284735 21
6.290842 23
6.296950 19
6.303058 17
6.309165 22
6.315273 15
6.321380 22
6.327488 16
6.333596 13
6.339703 11
6.345811 11
6.351919 9
6.358026 21
6.364134 7
6.370241 16
6.376349 17
6.382457 15
6.388564 13
6.394672 13
6.400779 11
6.406887 15
6.412995 15
6.419102 19
6.425210 16
6.431318 21
6.437425 17
6.443533 18
6.449640 17
6.455748 17
6.461856 10
6.467963 12
6.474071 12
6.480178 8
6.486286 15
6.492394 21
6.498501 10
6.504609 19
6.510717 10
6.516824 15
6.522932 13
6.529039 9
6.535147 15
6.541255 14
6.547362 12
6.553470 15
6.559577 11
6.565685 7
6.571793 17
6.577900 7
6.584008 11
6.590115 10
6.596223 12
6.602331 8
6.608438 7
6.614546 12
6.620654 13
6.626761 13
6.632869 15
6.638976 12
6.645084 9
6.651192 9
6.657299 14
6.663407 11
6.669514 8
6.675622 13
6.681730 12
6.687837 7
6.693945 6
6.700053 11
6.706160 20
6.712268 14
6.718375 13
6.724483 13
6.730591 13
6.736698 13
6.742806 17
6.748913 12
6.755021 16
6.761129 14
6.767236 6
6.773344 10
6.779452 13
6.785559 7
6.791667 10
6.797774 10
6.803882 23
6.809990 10
6.816097 7
6.822205 12
6.828312 15
6.834420 11
6.840528 12
6.846635 9
6.852743 4
6.858851 12
6.864958 15
6.871066 8
6.877173 17
6.883281 14
6.889389 17
6.895496 11
6.901604 9
6.907711 14
6.913819 10
6.919927 6
6.926034 15
6.932142 12
6.938249 11
6.944357 11
6.950465 11
6.956572 12
6.962680 9
6.968788 13
6.974895 5
6.981003 12
6.987110 9
6.993218 11
6.999326 9
7.005433 9
7.011541 14
7.017648 13
7.023756 10
7.029864 15
7.035971 14
7.042079 18
7.048187 9
7.054294 10
7.060402 9
7.066509 12
7.072617 7
7.078725 11
7.084832 12
7.090940 12
7.097047 11
7.103155 11
7.109263 9
7.115370 8
7.121478 8
7.127586 13
7.133693 8
7.139801 8
7.145908 11
7.152016 19
7.158124 10
7.164231 10
7.170339 17
7.176446 8
7.182554 7
7.188662 6
7.194769 16
7.200877 12
7.206984 16
7.213092 10
7.219200 9
7.225307 6
7.231415 9
7.237523 8
7.243630 15
7.249738 13
7.255845 18
7.261953 7
7.268061 11
7.274168 14
7.280276 7
7.286383 7
7.292491 10
7.298599 11
7.304706 9
7.310814 8
7.316922 15
7.323029 2
7.329137 6
7.335244 14
7.341352 14
7.347460 11
7.353567 14
7.359675 13
7.365782 10
7.371890 8
7.377998 14
7.384105 15
7.390213 16
7.396321 14
7.402428 16
7.408536 11
7.414643 14
7.420751 13
7.426859 9
7.432966 13
7.439074 9
7.445181 8
7.451289 9
7.457397 12
7.463504 11
7.469612 12
7.475720 8
7.481827 9
7.487935 14
7.494042 10
7.500150 7
7.506258 7
7.512365 17
7.518473 11
7.524580 11
7.530688 13
7.536796 6
7.542903 8
7.549011 6
7.555118 17
7.561226 2
7.567334 15
7.573441 10
7.579549 13
7.585657 13
7.591764 7
7.597872 10
7.603979 8
7.610087 13
7.616195 7
7.622302 12
7.628410 14
7.634517 17
7.640625 15
7.646733 14
7.652840 9
7.658948 7
7.665056 15
7.671163 11
7.677271 6
7.683378 12
7.689486 17
7.695594 12
7.701701 10
7.707809 12
7.713916 6
7.720024 16
7.726132 14
7.732239 10
7.738347 8
7.744455 14
7.750562 5
7.756670 13
7.762777 14
7.768885 6
7.774993 7
7.781100 13
7.787208 8
7.793315 6
7.799423 10
7.805531 17
7.811638 9
7.817746 4
7.823854 12
7.829961 10
7.836069 13
7.842176 7
7.848284 14
7.854392 10
7.860499 9
7.866607 6
7.872714 9
7.878822 14
7.884930 12
7.891037 11
7.897145 9
7.903252 8
7.909360 12
7.915468 8
7.921575 11
7.927683 11
7.933791 13
7.939898 17
7.946006 10
7.952113 15
7.958221 9
7.964329 13
7.970436 4
7.976544 11
7.982651 6
7.988759 4
7.994867 9
8.000974 11
8.007082 14
8.013190 12
8.019297 7
8.025405 8
8.031512 12
8.037620 15
8.043728 9
8.049835 12
8.055943 9
8.062050 11
8.068158 10
8.074266 11
8.080373 11
8.086481 8
8.092589 13
8.098696 13
8.104804 6
8.110911 8
8.117019 10
8.123127 8
8.129234 13
8.135342 10
8.141449 10
8.147557 15
8.153665 11
8.159772 7
8.165880 10
8.171988 9
8.178095 11
8.184203 10
8.190310 11
8.196418 6
8.202526 13
8.208633 4
8.214741 7
8.220848 14
8.226956 7
8.233064 13
8.239171 9
8.245279 11
8.251386 13
8.257494 10
8.263602 9
8.269709 6
8.275817 8
8.281925 9
8.288032 12
8.294140 8
8.300247 10
8.306355 13
8.312463 9
8.318570 16
8.324678 11
8.330785 14
8.336893 12
8.343001 7
8.349108 17
8.355216 19
8.361324 10
8.367431 9
8.373539 12
8.379646 9
8.385754 11
8.391862 14
8.397969 16
8.404077 11
8.410184 13
8.416292 12
8.422400 14
8.428507 12
8.434615 16
8.440723 18
8.446830 11
8.452938 9
8.459045 18
8.465153 6
8.471261 14
8.477368 10
8.483476 14
8.489583 7
8.495691 11
8.501799 10
8.507906 8
8.514014 12
8.520122 13
8.526229 9
8.532337 11
8.538444 9
8.544552 13
8.550660 14
8.556767 8
8.562875 8
8.568982 10
8.575090 6
8.581198 10
8.587305 11
8.593413 10
8.599520 10
8.605628 9
8.611736 16
8.617843 13
8.623951 18
8.630059 7
8.636166 12
8.642274 7
8.648381 6
8.654489 5
8.660597 12
8.666704 13
8.672812 9
8.678919 7
8.685027 6
8.691135 8
8.697242 7
8.703350 12
8.709458 13
8.715565 15
8.721673 12
8.727780 13
8.733888 9
8.739996 10
8.746103 9
8.752211 9
8.758318 9
8.764426 8
8.770534 7
8.776641 11
8.782749 11
8.788857 15
8.794964 9
8.801072 7
8.807179 8
8.813287 13
8.819395 21
8.825502 13
8.831610 21
8.837717 44
8.843825 65
8.849933 130
8.856040 311
8.862148 634
8.868255 1056
8.874363 1813
8.880471 3421
8.886578 5660
8.892686 9256
8.898794 15065
8.904901 24246
8.911009 36320
8.917116 48137
8.923224 58456
8.929332 73893
8.935439 81699
8.941547 84367
8.947654 89047
8.953762 95509
8.959870 98007
8.965977 96098
8.972085 93037
8.978193 100379
8.984300 96978
8.990408 91352
8.996515 89231
9.002623 90338
9.008731 86351
9.014838 76717
9.020946 67818
9.027053 64892
9.033161 56061
9.039269 47271
9.045376 41833
9.051484 39263
9.057592 36835
9.063699 31085
9.069807 27838
9.075914 27888
9.082022 25751
9.088130 23793
9.094237 22897
9.100345 23742
9.106452 23951
9.112560 22872
9.118668 22261
9.124775 23650
9.130883 22927
9.136991 21916
9.143098 21966
9.149206 22497
9.155313 22369
9.161421 21108
9.167529 19896
9.173636 21088
9.179744 20057
9.185851 18819
9.191959 18550
9.198067 18724
9.204174 18491
9.210282 16868
9.216389 15541
9.222497 15997
9.228605 15114
9.234712 13840
9.240820 13381
9.246928 13548
9.253035 13756
9.259143 12182
9.265250 11537
9.271358 12342
9.277466 11862
9.283573 11119
9.289681 10990
9.295788 11538
9.301896 11704
9.308004 10817
9.314111 10311
9.320219 10827
9.326327 10392
9.332434 9916
9.338542 9898
9.344649 10199
9.350757 9808
9.356865 9229
9.362972 8768
9.369080 9472
9.375187 8906
9.381295 8374
9.387403 8023
9.393510 8376
9.399618 8186
9.405726 7603
9.411833 7126
9.417941 7656
9.424048 7173
9.430156 6838
9.436264 6761
9.442371 6803
9.448479 7056
9.454586 6340
9.460694 5886
9.466802 6268
9.472909 6209
